Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Fri,2024-04-05,19:30,FC Tulsa,3–3,Phx Rising,"5,135",ONEOK Field,Mathew Corrigan,Match Report,
5,Sat,2024-04-06,19:30,Rhode Island FC,0–0,Charleston,"3,729",Beirne Stadium,Joshua Encarnacion,Match Report,
5,Sun,2024-04-07,16:00,B'ham Legion,3–1,Loudoun Utd,"2,112",Protective Stadium,Melvin Rivas,Match Report,
5,Sat,2024-04-06,18:00,CS Switchbacks,0–2,Sac Republic,"6,965",Weidner Field,Brad Jensen,Match Report,
5,Sat,2024-04-06,19:00,Roots,0–1,Monterey Bay,"3,001",Pioneer Stadium,Gerald Flores,Match Report,
5,Sat,2024-04-06,19:00,New Mexico Utd,3–2,El Paso,"9,019",Isotopes Park,Matthew Thompson,Match Report,
5,Sat,2024-04-06,19:30,LV Lights FC,1–0,San Antonio,"1,436",Cashman Field,Greg Dopka,Match Report,
,,,,,,,,,,,
6,Tue,2024-04-09,19:00,Charleston,3–2,Louisville City,"4,465",Patriots Point Soccer Complex,Alexis Da Silva,Match Report,
6,Thu,2024-04-11,19:00,Miami FC,2–5,TB Rowdies,887,Riccardo Silva Stadium,Calin Radosav,Match Report,
,,,,,,,,,,,
7,Sat,2024-04-13,16:00,Loudoun Utd,2–1,Memphis,"2,820",Segra Field,Mathew Corrigan,Match Report,
7,Sat,2024-04-13,19:00,Indy Eleven,2–4,Charleston,"8,556",Michael A. Carroll Stadium,Greg Dopka,Match Report,
7,Sat,2024-04-13,19:30,Rhode Island FC,0–0,Pittsburgh,"3,678",Beirne Stadium,Olvin Oliva,Match Report,
7,Sun,2024-04-14,17:00,North Carolina,1–1,B'ham Legion,"1,807",Sahlen's Stadium at WakeMed Soccer Park,Velimir Stefanovic,Match Report,
7,Sat,2024-04-13,19:00,Sac Republic,1–1,FC Tulsa,"8,891",Heart Health Park,Ricardo Fierro,Match Report,
7,Sat,2024-04-13,19:00,Monterey Bay,3–1,LV Lights FC,"3,524",Cardinale Stadium,Elijio Arreguin,Match Report,
7,Sat,2024-04-13,19:30,San Antonio,0–0,Orange County,"6,957",Toyota Field,Natalie Simon,Match Report,
7,Sat,2024-04-13,19:30,Phx Rising,1–0,CS Switchbacks,"6,277",Wild Horse Pass Stadium,Nabil Bensalah,Match Report,
7,Sat,2024-04-13,20:00,El Paso,2–3,Roots,"6,667",Southwest University Park,Sergii Demianchuk,Match Report,
,,,,,,,,,,,
8,Sat,2024-04-20,16:00,Loudoun Utd,0–1,Louisville City,"2,879",Segra Field,Alyssa Nichols,Match Report,
8,Sat,2024-04-20,16:00,Detroit City,3–1,Roots,"5,620",Keyworth Stadium,Olvin Oliva,Match Report,
8,Sat,2024-04-20,17:00,Hartford,1–3,San Antonio,"4,880",Trinity Health Stadium,Jeremy Scheer,Match Report,
8,Sat,2024-04-20,17:00,FC Tulsa,1–4,Charleston,"3,454",ONEOK Field,Kyle Johnston,Match Report,
8,Sat,2024-04-20,19:00,Miami FC,0–1,B'ham Legion,"1,092",Riccardo Silva Stadium,Lorenzo Hernandez,Match Report,
8,Sat,2024-04-20,19:00,North Carolina,2–3,New Mexico Utd,"1,916",Sahlen's Stadium at WakeMed Soccer Park,Mathew Corrigan,Match Report,
8,Sat,2024-04-20,19:30,TB Rowdies,1–1,El Paso,"4,945",Al Lang Stadium,Alex Beehler,Match Report,
8,Sat,2024-04-20,17:00,LV Lights FC,1–2,Rhode Island FC,"1,943",Cashman Field,Ben Meyer,Match Report,
8,Sat,2024-04-20,18:00,CS Switchbacks,1–1,Indy Eleven,"6,687",Weidner Field,Trevor Wiseman,Match Report,
8,Sat,2024-04-20,19:00,Orange County,0–2,Sac Republic,"4,200",Orange Country Great Park Championship S...,Abdou Ndiaye,Match Report,
8,Sat,2024-04-20,19:00,Memphis,1–2,Monterey Bay,"2,598",AutoZone Park,Muhammad Hassan,Match Report,
8,Sat,2024-04-20,19:30,Phx Rising,1–3,Pittsburgh,"6,759",Wild Horse Pass Stadium,Brad Jensen,Match Report,
,,,,,,,,,,,
9,Fri,2024-04-26,19:30,Rhode Island FC,1–3,Phx Rising,"4,000",Beirne Stadium,Sergii Demianchuk,Match Report,
9,Sat,2024-04-27,16:00,Charleston,6–0,LV Lights FC,"4,520",Patriots Point Soccer Complex,Joe Surgan,Match Report,
9,Sat,2024-04-27,18:30,B'ham Legion,0–3,Memphis,"2,541",Protective Stadium,Alejo Calume,Match Report,
9,Sat,2024-04-27,19:00,Miami FC,2–1,San Antonio,"1,078",Riccardo Silva Stadium,Nabil Bensalah,Match Report,
9,Sat,2024-04-27,19:00,Indy Eleven,2–1,North Carolina,"10,071",Michael A. Carroll Stadium,Eric Tattersall,Match Report,
9,Sat,2024-04-27,19:00,Pittsburgh,2–0,Detroit City,"6,099",Highmark Stadium,Kyle Johnston,Match Report,
9,Sat,2024-04-27,19:30,TB Rowdies,3–0,New Mexico Utd,"6,588",Al Lang Stadium,Abdou Ndiaye,Match Report,
9,Sat,2024-04-27,19:30,Louisville City,6–0,Hartford,"10,887",Lynn Family Stadium,Ricardo Fierro,Match Report,
9,Sat,2024-04-27,19:00,Roots,0–2,CS Switchbacks,"3,430",Pioneer Stadium,Alexis Da Silva,Match Report,
9,Sat,2024-04-27,19:00,Orange County,2–0,Monterey Bay,"4,588",Orange Country Great Park Championship S...,DeShun Beard,Match Report,
9,Sat,2024-04-27,19:00,Sac Republic,3–1,Loudoun Utd,"10,246",Heart Health Park,Trevor Wiseman,Match Report,
9,Sat,2024-04-27,20:00,El Paso,0–1,FC Tulsa,"6,142",Southwest University Park,Lorenzo Hernandez,Match Report,
,,,,,,,,,,,
10,Sat,2024-05-04,15:00,Memphis,4–1,TB Rowdies,"2,384",AutoZone Park,Alexis Da Silva,Match Report,
10,Sat,2024-05-04,18:30,Charleston,1–0,Hartford,"3,785",Patriots Point Soccer Complex,Matthew Thompson,Match Report,
10,Sat,2024-05-04,18:30,B'ham Legion,2–2,FC Tulsa,"2,541",Protective Stadium,Nabil Bensalah,Match Report,
10,Sat,2024-05-04,19:00,North Carolina,0–0,Rhode Island FC,"3,187",Sahlen's Stadium at WakeMed Soccer Park,Gerald Flores,Match Report,
10,Sat,2024-05-04,19:00,Pittsburgh,1–0,Miami FC,"4,172",Highmark Stadium,Brandon Stevis,Match Report,
10,Sat,2024-05-04,19:00,Loudoun Utd,0–0,Detroit City,"3,017",Segra Field,Lorenzo Hernandez,Match Report,
10,Sat,2024-05-04,19:00,CS Switchbacks,2–0,El Paso,"8,023",Weidner Field,Luis Arroyo,Match Report,
10,Sat,2024-05-04,19:00,Monterey Bay,0–1,Indy Eleven,"4,504",Cardinale Stadium,Corbyn May,Match Report,
10,Sat,2024-05-04,19:30,San Antonio,2–2,Roots,"7,437",Toyota Field,Joshua Encarnacion,Match Report,
10,Sat,2024-05-04,19:30,LV Lights FC,1–2,New Mexico Utd,"1,061",Cashman Field,Brad Jensen,Match Report,
